Electrode,root,stem,soil,x,y,xr1,yr1,xr21,yr21,xr22,yr22,xr3,yr3,xr4,yr4
2,262.027,36.5806,73.5718,1.08,1.41,1.08,1.41,1.025,0.54,2.46,1.48,1.95,0.94,1.64,0.75
3,76.1514,23.6784,46.7476,0.89,1.38,0.89,1.38,1.37,0.74,2.29,1.36,2.18,0.66,1.55,0.575
4,37.6497,17.3957,31.4191,0.69,1.37,0.69,1.37,1.505,0.87,2.1,1.27,,,1.46,0.4
5,24.2086,13.233,22.8461,0.5,1.41,0.5,1.41,,,,,,,1.4,0.22
6,18.0787,10.8641,17.3617,0.31,1.4,0.31,1.4,,,,,,,1.36,0
7,13.7533,8.8621,13.6598,0.12,1.46,0.12,1.46,,,,,,,,
8,10.7965,7.91527,10.3725,0.095,1.1,,,,,,,,,,
9,15.2658,10.7065,14.1255,0.34,1.07,,,,,,,,,,
10,25.2376,15.3435,21.6717,0.65,1.16,,,,,,,,,,
11,60.4979,33.1878,35.64,1.09,1.19,,,,,,,,,,
12,29.4309,29.5206,21.4856,1.25,0.95,,,,,,,,,,
13,22.9969,17.0397,18.5227,0.81,0.93,,,,,,,,,,
14,7.38377,7.16303,6.68923,0.605,0.022,,,,,,,,,,
15,7.45145,6.23382,6.98538,0.035,0.51,,,,,,,,,,
16,5.39761,4.91179,5.03853,0,0,,,,,,,,,,
17,9.765,8.2364,8.88777,0.32,0.54,,,,,,,,,,
18,13.1576,11.6303,11.4598,0.7,0.525,,,,,,,,,,
19,15.3548,15.4726,12.818,1.025,0.54,,,,,,,,,,
20,19.8449,26.917,15.5842,1.37,0.74,,,,,,,,,,
21,23.3485,42.3552,17.4956,1.505,0.87,,,,,,,,,,
22,10.9248,17.3439,9.86014,2.46,1.48,,,,,,,,,,
23,13.4463,24.9723,11.5008,2.29,1.36,,,,,,,,,,
24,17.6554,41.8155,14.029,2.1,1.27,,,,,,,,,,
25,8.8594,13.0333,8.06158,2.58,1.4,,,,,,,,,,
26,6.8302,9.29929,6.25437,2.68,0.58,,,,,,,,,,
27,10.1092,15.6625,8.9769,2.35,0.825,,,,,,,,,,
28,16.9533,38.6197,13.4072,1.95,0.94,,,,,,,,,,
29,10.6348,16.7336,9.28615,2.18,0.66,,,,,,,,,,
30,5.01943,6.29638,4.64018,2.78,0.095,,,,,,,,,,
31,6.71,8.34408,6.07042,2.19,0,,,,,,,,,,
32,7.44985,9.9406,6.73104,2.41,0.36,,,,,,,,,,
33,9.33805,12.5668,8.29968,2.1,0.365,,,,,,,,,,
34,11.8425,13.0506,10.252,1.85,0.35,,,,,,,,,,
35,8.12186,9.8035,7.2704,1.73,0.02,,,,,,,,,,
36,10.2049,12.9187,8.98525,1.72,0.305,,,,,,,,,,
37,12.7107,19.062,10.8722,1.75,0.655,,,,,,,,,,
38,16.5856,29.124,13.3679,1.64,0.75,,,,,,,,,,
39,14.0321,20.0812,11.7582,1.55,0.575,,,,,,,,,,
40,12.2534,15.5269,10.503,1.46,0.4,,,,,,,,,,
41,10.4668,12.3514,9.12386,1.4,0.22,,,,,,,,,,
42,8.5015,9.70915,7.53154,1.36,0,,,,,,,,,,
